,repository_name,language
674,azuredatastudio-smoke-test-repo,Jupyter Notebook
675,azuredatastudio-sqlite,TypeScript
676,AzureDeepStreamAccelerator,Python
677,AzureDevOps-WSJF-Extension,TypeScript
678,AzureDevOpsDemoGenerator,HTML
679,azuredevopsgenerator,PowerShell
680,azuredevopslabs,CSS
681,AzureDiagnostics,
682,AzureDWScriptsandUtilities,PowerShell
683,AzureFilesFUSE,Python
684,AzureForDevelopers,HTML
685,AzureFunctionforSplunkVS,C#
686,azureimds,C#
687,AzureKeyVaultExplorer,C#
688,AzureKeyVaultManagedHSMEngine,C
689,azurelinux,RPM Spec
690,azurelinux-tutorials,Shell
691,AzureLinuxVulnerabilityData,
692,AzureLTIAssessmentApp,TypeScript
693,AzureManagedHsmTLSOffload,
694,AzureML-BERT,Jupyter Notebook
695,AzureML-Healthcare-Insurance-fraud,Jupyter Notebook
696,azureml-inference-server,Python
697,AzureML-Observability,Jupyter Notebook
698,azureml-ops-accelerator,Ruby
699,AzureML-PowerAppSolution,
700,AzureML-R-template,R
701,azureml-terraform-examples,HCL
702,AzureMonitor-Telegraf,Go
703,AzureMonitorAddonForSplunk,Python
704,AzureMonitorCommunity,PowerShell
705,Azurenaut,
706,AzureNetworkWatcherNSGFlowLogsConnector,C#
707,AzureNotebookTests,Jupyter Notebook
708,AzureOpenAI-with-APIM,Bicep
709,AzurePolicyTestFramework,HCL
710,AzureProvisioningUsingFunctions,C#
711,AzureScheduledEventsService,PowerShell
712,AzureSearch-MRC,Python
713,AzureSearch_JFK_Files,TypeScript
714,AzureSMR,R
715,azuresql-devcontainers,TSQL
716,AzureSQLDataSyncHealthChecker,PowerShell
717,AzureSQLPromptFlowSamples,
718,AzureStackHCI-Liftoff,PowerShell
719,AzureStackHCI-Network-Switch-Validation,Go
720,AzureStackHCIJumpstart,PowerShell
721,azurestackhubdocsfeeder,HTML
722,AzureStackWANSimulator,PowerShell
723,AzureStack_Network_Switch_Config_Generator,Go
724,AzureStorageExplorer,
725,AzureStreamAnalyticsInVSCode,
726,AzureSuperpowers,PowerShell
727,AzureSynapseEndToEndDemo,
728,AzureSynapseScriptsAndAccelerators,PowerShell
729,AzureTipsAndTricks,Vue
730,AzureTrailblazerAcademy,CSS
731,AzureTRE,Python
732,AzureTRE-Deployment,Shell
733,AzureUsageAndBillingPortal,JavaScript
734,azure_arc,HTML
735,azure_arc_jumpstartweb,CSS
736,Azure_Kinect_ROS_Driver,C++
737,azure_spatial_anchors_ros,C++
738,Azure_Synapse_Toolbox,TSQL
739,AzUrlShortener,C#
740,BA-CSA-Assets,
741,BabylonJS-React-Template,JavaScript
742,backbone-toolbar,JavaScript
743,backbone-virtualized-listview,JavaScript
744,backfill,TypeScript
745,BackupDwToBlob,
746,backupessentials,C
747,BackwardCompatibilityML,HTML
748,bamboo-demo,C#
749,bandit-sarif-formatter,Python
750,BANG,Python
751,banknote-net,Jupyter Notebook
752,banner-settings-ado-extension,TypeScript
753,BAS-Ecosystem-Engineering,
754,BaselineManagement,PowerShell
755,bash-for-beginners,Shell
756,batch-effects-normalization,Jupyter Notebook
757,batch-inference,Python
758,batch-processing-kit,Python
759,BatchMoveToTeams,PowerShell
760,BatchPrompt,
761,BatchPrompt-ICLR2024,
762,BatteryML,Jupyter Notebook
763,bayesianize,Python
764,bbs-node-reference,TypeScript
765,bc2adls,AL
766,bc2dataverse,TypeScript
767,BCApps,AL
768,bcsamples-bingmaps.appsource,AL
769,bcsamples-bingmaps.pte,AL
770,bcsamples-CoffeeMR,AL
771,bcsamples-onboarding,AL
772,bcsamples-takeorder,AL
773,bcsamples-warehousehelper,AL
774,BCTech,
775,BCUpgrade,PowerShell
776,be-trans-mil,Python
777,beachball,TypeScript
778,BeanSpy,Java
779,bedrock,HCL
